web-scraper-order,web-scraper-start-url,infos,infos-href,Details,prix,adresse,N_chambre,Superficie,img_ling-src
"1737719812-13","https://www.expat-dakar.com/appartements-meubles?page=78","FANN RÉSIDENCE, LOFT PARADISIAQUE À LOUER
                                2 chambre125 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        29. oct. '24, 15:30
                                    
                    850 000 F Cfa
                        
                        778298993","https://www.expat-dakar.com/annonce/fann-residence-loft-paradisiaque-a-louer-6000950","FANN RÉSIDENCE, LOFT PARADISIAQUE À LOUER","850 000 F Cfa","Fann","2","125 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/196bff76c7fc32acfa989b82c4ab2f60/-/horizon-files-prod/ed/picture/qwe2950j/c7fe1fe292301f4bff911fff8c5457328a443b88.jpg"
"1737719815-14","https://www.expat-dakar.com/appartements-meubles?page=78","Des appartements meublés à louer au mariste
                                2 chambre200 m²
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        9. janv., 15:08
                                    
                    40 000 F Cfa
                        
                        784879963","https://www.expat-dakar.com/annonce/des-appartements-meubles-a-louer-au-mariste-5870710","Des appartements meublés à louer au mariste","40 000 F Cfa","Hann maristes","2","200 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5e348c5ad3df4e64a45a74f5c6de7082/-/horizon-files-prod/ed/picture/qrzvz645/bf038daaa729a698796dc81db5e7a0a2e425573e.jpg"
"1737719819-15","https://www.expat-dakar.com/appartements-meubles?page=78","Appartement Meublé  vue sur mer à Dakar plateau
                                3 chambre300 m²
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        9. janv., 15:33
                                    
                    3 000 000 F Cfa
                        
                        784879963","https://www.expat-dakar.com/annonce/appartement-meuble-vue-sur-mer-a-dakar-plateau-5675732","Appartement Meublé  vue sur mer à Dakar plateau","3 000 000 F Cfa","Plateau","3","300 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/78197df7baf4ae47285477bcefa2e3b7/-/horizon-files-prod/ed/picture/qrzqr2w9/4e1931dc3ca9a8df92e17a74b56cd3c4e8fede23.jpg"
"1737719827-16","https://www.expat-dakar.com/appartements-meubles?page=78","Appartement meublé à louer à la Foire
                                
                                                                                    VDN,
                                                                                Dakar
                                    
                                        lundi, 13:09
                                    
                    40 000 F Cfa
                        
                        775224696","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-a-la-foire-5972170","Appartement meublé à louer à la Foire","40 000 F Cfa","VDN","","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0822b5ebe123ae4d7fb9a322fad8f7f3/-/horizon-files-prod/ed/picture/q9m9wej5/d612d434291d5d2d7a261538debd5fefe4101200.jpg"
"1737719840-17","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement 2 chambres salon à louer à ngor almadies
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        jeudi, 16:23
                                    
                    35 000 F Cfa
                        
                        777032727","https://www.expat-dakar.com/annonce/appartement-2-chambres-salon-a-louer-a-ngor-almadies-6071698","Appartement 2 chambres salon à louer à ngor almadies","35 000 F Cfa","Almadies","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/71d0fd0fce5982b2ba58aa1af26c59ad/-/horizon-files-prod/ed/picture/qrzvg89n/0099c6f377da0c88d2a25c945e1d3d3e28235650.jpg"
"1737719846-18","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé vue sur mer à louer aux Almadies
                                3 chambre250 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        7. janv., 21:44
                                    
                    2 800 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-vue-sur-mer-a-louer-aux-almadies-6082806","Appartement meublé vue sur mer à louer aux Almadies","2 800 000 F Cfa","Almadies","3","250 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8331d1e56d24673d3c47671562bd6f0d/-/horizon-files-prod/ed/picture/qwe2qr7p/12c9476164d7496bf9490b9f876309c97297ef95.jpg"
"1737719852-19","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé à louer aux virages biagui
                                3 chambre200 m²
                                                                                    Cité biagui,
                                                                                Dakar
                                    
                                        10. nov. '24, 18:17
                                    
                    1 500 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-aux-virages-biagui-6076857","Appartement meublé à louer aux virages biagui","1 500 000 F Cfa","Cité biagui","3","200 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/04e1f5326c8af7cb3ded65f873a5ec74/-/horizon-files-prod/ed/picture/qgq9vrze/3cd99b70374da18019f5cacc34c1390c91f355da.jpg"
"1737719858-20","https://www.expat-dakar.com/appartements-meubles?page=77","APPARTEMENT MEUBLÉ F4 A LOUER AU POINT E
                                3 chambre156 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        6. janv., 12:58
                                    
                    1 600 000 F Cfa
                        
                        774763424
                    
                        778182183","https://www.expat-dakar.com/annonce/appartement-meuble-f4-a-louer-au-point-e-5818784","APPARTEMENT MEUBLÉ F4 A LOUER AU POINT E","1 600 000 F Cfa","Point-e","3","156 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6f066d6ebb636129508d389864c7fa55/-/horizon-files-prod/ed/picture/qdew8407/05bd02a02c4d6c8577aec43b95e21e1cb1e372be.jpg"
"1737719867-21","https://www.expat-dakar.com/appartements-meubles?page=77","Chambres/Appartement Meublé Idéales pour Vacances
                                2 chambre150 m²
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        6. janv., 23:30
                                    
                    30 000 F Cfa
                        
                        771254697","https://www.expat-dakar.com/annonce/chambresappartement-meuble-ideales-pour-vacances-6073671","Chambres/Appartement Meublé Idéales pour Vacances","30 000 F Cfa","Hlm","2","150 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7d7d9e94078879328ccda965d9275bc/-/horizon-files-prod/ed/picture/qngx4jmr/29b401b1627d0f57facfaaca1388329b4a2fa3f7.jpg"
"1737719871-22","https://www.expat-dakar.com/appartements-meubles?page=77","Chambre meublée kaolack
                                15 chambre600 m²
                                                                                    Kaolack,
                                                                                Kaolack
                                    
                                        4. nov. '24, 11:04
                                    
                    15 000 F Cfa
                        
                        762260424","https://www.expat-dakar.com/annonce/chambre-meublee-kaolack-5960597","Chambre meublée kaolack","15 000 F Cfa","Kaolack","15","600 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/aeb2eb439e8d09ad399735515921c6ee/-/horizon-files-prod/ed/picture/q448pv05/3750e0df1733001b630d414a7baab4a30efc6eba.jpg"
"1737719878-23","https://www.expat-dakar.com/appartements-meubles?page=77","Apparemment meublé à louer sur la corniche Almadie
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        samedi, 00:44
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/apparemment-meuble-a-louer-sur-la-corniche-almadie-6104634","Apparemment meublé à louer sur la corniche Almadie","2 000 000 F Cfa","Almadies","3","200 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e3d3b4d46c4611dbeec89b43ee802220/-/horizon-files-prod/ed/picture/qm5g56xj/2b623ca9d022ee5342b4af051497e6ae96333007.jpg"
"1737719887-24","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement F4 AUX ALMADIES
                                3 chambre180 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        5. nov. '24, 17:28
                                    
                    2 000 000 F Cfa
                        
                        779124343","https://www.expat-dakar.com/annonce/appartement-f4-aux-almadies-6080964","Appartement F4 AUX ALMADIES","2 000 000 F Cfa","Almadies","3","180 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f54a91effe40c1d0faaf6c40a16b3f7/-/horizon-files-prod/ed/picture/qenqgng2/4c7fa1bbe6c5056e690032647f03d57d821f69a2.jpg"
"1737719892-25","https://www.expat-dakar.com/appartements-meubles?page=77","Très Luxueux appartement meublé
                                2 chambre150 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        24. nov. '24, 12:23
                                    
                    40 000 F Cfa
                        
                        773715603","https://www.expat-dakar.com/annonce/tres-luxueux-appartement-meuble-6106667","Très Luxueux appartement meublé","40 000 F Cfa","Mamelles","2","150 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4d30c4e50bb355c96a110710ba3b4a3/-/horizon-files-prod/ed/picture/q78w8m8z/b9967d09b1404566c80d02c5d491bbdbdcbb2e8b.jpg"
"1737719902-26","https://www.expat-dakar.com/appartements-meubles?page=77","Appartement meublé corniche fan résidence
                                3 chambre341 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        7. janv., 23:26
                                    
                    2 700 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-corniche-fan-residence-6109868","Appartement meublé corniche fan résidence","2 700 000 F Cfa","Fann","3","341 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/76ad1725a6d5589f2867a22791e50aac/-/horizon-files-prod/ed/picture/qv4w46rg/38935e7bead6c7060ffb1113a519bdf53aea85db.jpg"
"1737719913-27","https://www.expat-dakar.com/appartements-meubles?page=76","Studio meublé aux HLM5
                                1 chambre
                                                                                    Hlm,
                                                                                Dakar
                                    
                                        6. nov. '24, 00:12
                                    
                    25 000 F Cfa
                        
                        778565333
                    
                        778565333","https://www.expat-dakar.com/annonce/studio-meuble-aux-hlm5-6109972","Studio meublé aux HLM5","25 000 F Cfa","Hlm","1","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e9c4691349e059ced421f057911425b0/-/horizon-files-prod/ed/picture/qwepe7dm/5c4f1b25d23d827032887bba44be06f54912978b.jpg"
"1737719921-28","https://www.expat-dakar.com/appartements-meubles?page=76","Villa à louer aux Almadie
                                5 chambre1,000 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        23. déc. '24, 12:22
                                    
                    5 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/villa-a-louer-aux-almadie-6118095","Villa à louer aux Almadie","5 000 000 F Cfa","Almadies","5","1,000 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a27a12f35fe43ad05c1a4ee37e14bfed/-/horizon-files-prod/ed/picture/qq42d8nz/8f2b85a5c0a0732dd3609b0017f9d6409f001699.jpg"
"1737719935-29","https://www.expat-dakar.com/appartements-meubles?page=76","Appartement meublé à louer aux Point E
                                3 chambre200 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        7. janv., 23:26
                                    
                    2 400 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-aux-point-e-6120572","Appartement meublé à louer aux Point E","2 400 000 F Cfa","Fann","3","200 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d83775b66e30a0a9be4baa7bcc88b14/-/horizon-files-prod/ed/picture/qwepz774/3d48c4597ffd25e271d24910382eece805eb1c84.jpg"
"1737719940-30","https://www.expat-dakar.com/appartements-meubles?page=76","Superbe F3 meublé standing Toubab Dialaw
                                2 chambre
                                                                                    Toubab dialo,
                                                                                Dakar
                                    
                                        9. nov. '24, 17:34
                                    
                    50 000 F Cfa
                        
                        772710090","https://www.expat-dakar.com/annonce/superbe-f3-meuble-standing-toubab-dialaw-6004249","Superbe F3 meublé standing Toubab Dialaw","50 000 F Cfa","Toubab dialo","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca31897dd22038cb3317960bfbd7609e/-/horizon-files-prod/ed/picture/qngxkm2w/45b40e864bd104159739682281a8ca86fc6480b4.jpg"
"1737719946-31","https://www.expat-dakar.com/appartements-meubles?page=76","Superbe Appartement Meublé à Keur Massar, Dakar
                                2 chambre110 m²
                                                                                    Keur Massar,
                                                                                Dakar
                                    
                                        21. nov. '24, 09:44
                                    
                                            Vendeur vérifié
                                        
                    23 000 F Cfa
                        
                        771257777","https://www.expat-dakar.com/annonce/superbe-appartement-meuble-a-keur-massar-dakar-5049888","Superbe Appartement Meublé à Keur Massar, Dakar","23 000 F Cfa","Keur Massar","2","110 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e3b5688d1a1831deac8fa1bcbac20690/-/horizon-files-prod/ed/picture/q604q8v/f456f55f653327df00cdd5625c403796f9764bca.jpg"
"1737719952-32","https://www.expat-dakar.com/appartements-meubles?page=76","STUDIO MEUBLÉ AU POINT E
                                1 chambre100 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        29. oct. '24, 15:29
                                    
                    600 000 F Cfa
                        
                        778298993","https://www.expat-dakar.com/annonce/studio-meuble-au-point-e-6126922","STUDIO MEUBLÉ AU POINT E","600 000 F Cfa","Point-e","1","100 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/05047cc847b6d7c4be88d377c2c4b777/-/horizon-files-prod/ed/picture/q6xdkvgz/0eaec11badccac81d84a44bbce54c356ef1a8afb.jpg"
"1737719957-33","https://www.expat-dakar.com/appartements-meubles?page=76","Très Luxueux studio meublé au Mamelle
                                1 chambre100 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        24. nov. '24, 12:23
                                    
                    25 000 F Cfa
                        
                        773715603","https://www.expat-dakar.com/annonce/tres-luxueux-studio-meuble-au-mamelle-6133518","Très Luxueux studio meublé au Mamelle","25 000 F Cfa","Mamelles","1","100 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb693c5b5f15e4a408ee793959f7f591/-/horizon-files-prod/ed/picture/qde77rj0/5ddedc24be5037507f505713befbda15c4f97b53.jpg"
"1737719961-34","https://www.expat-dakar.com/appartements-meubles?page=76","Chambre meublée et climatisée
                                1 chambre20 m²
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        6. janv., 20:43
                                    
                    10 000 F Cfa
                        
                        773642155","https://www.expat-dakar.com/annonce/chambre-meublee-et-climatisee-6134501","Chambre meublée et climatisée","10 000 F Cfa","Ouest foire","1","20 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d3b690dd397c6450b0a29244da58cfe/-/horizon-files-prod/ed/picture/q78ww7rn/901548ff4cb05cd6433f0448953933bf85fd3bfd.jpg"
"1737719970-35","https://www.expat-dakar.com/appartements-meubles?page=76","Appartement deux chambres salon à Saint-Louis
                                2 chambre150 m²
                                                                                    Saint-Louis,
                                                                                Saint-Louis
                                    
                                        Aujourd'hui, 10:02
                                    
                    45 000 F Cfa
                        
                        775511435","https://www.expat-dakar.com/annonce/appartement-deux-chambres-salon-a-saint-louis-5653044","Appartement deux chambres salon à Saint-Louis","45 000 F Cfa","Saint-Louis","2","150 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad58b999c8fb4693312fa1ea0e21455f/-/horizon-files-prod/ed/picture/q6x66ep4/75abb44d46e45efe9ef41e451c8cc36c9c39f3f2.jpg"
"1737719974-36","https://www.expat-dakar.com/appartements-meubles?page=76","Chambres Meublées à Saint-Louis
                                15 chambre250 m²
                                                                                    Saint-Louis,
                                                                                Saint-Louis
                                    
                                        Aujourd'hui, 10:00
                                    
                    15 000 F Cfa
                        
                        775511435","https://www.expat-dakar.com/annonce/chambres-meublees-a-saint-louis-2758996","Chambres Meublées à Saint-Louis","15 000 F Cfa","Saint-Louis","15","250 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d83ea93fae9b791e5403b0629f7b073f/-/horizon-files-prod/ed/picture/migrated/q40mdv8/00a5db66459c1c025107b64b7eb0d9c64e717ea1.jpg"
"1737719982-37","https://www.expat-dakar.com/appartements-meubles?page=75","Appartement deux chambres climatisées à Saint-Louis
                                2 chambre100 m²
                                                                                    Saint-Louis,
                                                                                Saint-Louis
                                    
                                        Aujourd'hui, 09:59
                                    
                    40 000 F Cfa
                        
                        775511435","https://www.expat-dakar.com/annonce/appartement-deux-chambres-climatisees-a-saint-louis-5118345","Appartement deux chambres climatisées à Saint-Louis","40 000 F Cfa","Saint-Louis","2","100 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c98364b1d52be03e44b9172939ab97c/-/horizon-files-prod/ed/picture/q7n2q78/21f77c1876d6d4d6eff078a615924dcb07905ae4.jpg"
"1737719990-38","https://www.expat-dakar.com/appartements-meubles?page=75","Appartement meublé avec piscine jardin Virage
                                3 chambre200 m²
                                                                                    Virage,
                                                                                Dakar
                                    
                                        10. déc. '24, 21:07
                                    
                    60 000 F Cfa
                        
                        773464496
                    
                        767924983","https://www.expat-dakar.com/annonce/appartement-meuble-avec-piscine-jardin-virage-6134862","Appartement meublé avec piscine jardin Virage","60 000 F Cfa","Virage","3","200 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/811d021fb1821b3d71628989c977e293/-/horizon-files-prod/ed/picture/qde77kd2/70afcaa0050babc8ecbc8403bde34bd2ea6dbc02.jpg"
"1737719997-39","https://www.expat-dakar.com/appartements-meubles?page=75","Bel appartement meublé/ mamelles
                                
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        15. déc. '24, 11:40
                                    
                    650 000 F Cfa
                        
                        784403914
                    
                        784403914","https://www.expat-dakar.com/annonce/bel-appartement-meuble-mamelles-5520902","Bel appartement meublé/ mamelles","650 000 F Cfa","Mamelles","","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1990c35593bedc5aaf40fa6e7b10e8b9/-/horizon-files-prod/ed/picture/qv445x8p/38a80f104d3fa7b099df15779bb8c471a496e158.jpg"
"1737720002-40","https://www.expat-dakar.com/appartements-meubles?page=75","Appartement 1 chambre meublé-Almadies recasement
                                1 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        6. déc. '24, 09:53
                                    
                    600 000 F Cfa
                        
                        765630430","https://www.expat-dakar.com/annonce/appartement-1-chambre-meuble-almadies-recasement-6137962","Appartement 1 chambre meublé-Almadies recasement","600 000 F Cfa","Almadies","1","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f2a5c5a47857b8dee1fc9de0df9ad513/-/horizon-files-prod/ed/picture/qde77ng0/37c29d24538f1ab60dbcd1d5f2fb04ac129c71d1.jpg"
"1737720007-41","https://www.expat-dakar.com/appartements-meubles?page=75","Joli Appartement meublé à louer Almadies - Ngor
                                3 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        19. nov. '24, 11:56
                                    
                    45 000 F Cfa
                        
                        778057481
                    
                        708832038","https://www.expat-dakar.com/annonce/joli-appartement-meuble-a-louer-almadies-ngor-5984084","Joli Appartement meublé à louer Almadies - Ngor","45 000 F Cfa","Almadies","3","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/47eb30f97a646584fabed429a9480cb5/-/horizon-files-prod/ed/picture/qdek6xp8/a5ad84e048cf32e87f71d64c7b04277bee24f5c6.jpg"
"1737720010-42","https://www.expat-dakar.com/appartements-meubles?page=75","Appartement meublé
                                2 chambre80 m²
                                                                                    Liberte 6 extension,
                                                                                Dakar
                                    
                                        29. nov. '24, 13:32
                                    
                    35 000 F Cfa
                        
                        788248889","https://www.expat-dakar.com/annonce/appartement-meuble-6017008","Appartement meublé","35 000 F Cfa","Liberte 6 extension","2","80 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8ac3fda2d5cb683cfb7153ae218bc1a/-/horizon-files-prod/ed/picture/q8v58v69/13500f64a0e10a15bb916231184e38eaf0c0377a.jpg"
